Component,ID,Price,
nRF52832,C77540,"$3,63",https://www.lcsc.com/product-detail/C77540.html 
CH340C,C84681,"$0,63",https://www.lcsc.com/product-detail/C84681.html 
USB-C 14 pin,C165948,"$0,18",https://www.lcsc.com/product-detail/C165948.html 
TP4056-42-ESOP8,C16581,"$0,19",https://www.lcsc.com/product-detail/C16581.html 
FS8205A,C908265,"$0,07",https://www.lcsc.com/product-detail/C908265.html 
DW01A,C351410,"$0,04",https://www.lcsc.com/product-detail/C351410.html 
XC6206P332MR-G,C5446,"$0,11",https://www.lcsc.com/product-detail/C5446.html 
TXS0102DCUR,C53434,"$0,20",https://www.lcsc.com/product-detail/C53434.html 
XUNPU SMN-303 - SIM Card,C266888,"$0,48",https://www.lcsc.com/product-detail/C266888.html 
A7680C-LANV,C5381968,"$3,89",https://www.lcsc.com/product-detail/C5381968.html 
ZIISOR TX4G-FPC-4015 - Antenna for 2G,C454896,"$0,38",https://www.lcsc.com/product-detail/C454896.html 
16-213SURC/S530-A4/TR8 - Red LED,C74339,"$0,03",https://www.lcsc.com/product-detail/C74339.html 
2450AT18A100E - nRF antenna,C89334,"$0,52",https://www.lcsc.com/product-detail/C89334.html 
NX2016SA-32MHZ - 32MHz crystal,C5441424,"$0,44",https://www.lcsc.com/product-detail/C5441424.html 
"SC-20S,32.768kHz - crystal",C97603,"$0,24",https://www.lcsc.com/product-detail/C97603.html 
BLM21PG300SN1D - Ferrite Bead,C16903,"$0,03",https://www.lcsc.com/product-detail/C16903.html 
ESDBW5V0A1 - A7680C TVS,C5173252,"$0,06",https://www.lcsc.com/product-detail/C5173252.html 
LXES15AAA1-153 - Antenna TVS,C5210978,"$0,04",https://www.lcsc.com/product-detail/C5210978.html 
L80-R,Aliexpress,"$5,00",https://aliexpress.ru/item/1005009368056644.html?sku_id=12000048887115112&spm=a2g2w.productlist.search_results.1.6fd566c5KUYu18 
Battery,Aliexpress,"$3,66",https://aliexpress.ru/item/1005008217717191.html?shpMethod=Other&sku_id=12000044268208548&spm=a2g2w.productlist.search_results.0.64b442c5MwpQNY
Straps - Galaxy watch 6 18mm,Aliexpress,"$1,18",https://aliexpress.ru/item/1005007219292840.html?sku_id=12000039849739042&spm=a2g2w.productlist.search_results.11.5b6e329dXvaUst 
ST-LINK V2,Aliexpress,"$1,30",https://aliexpress.ru/item/1005006144093275.html?sku_id=12000035958608625&spm=a2g2w.productlist.search_results.0.69e77472dvzkQh 
B3U-3000P LED Diode,C963349,"$1,43",https://www.lcsc.com/product-detail/C963349.html 
,,,
,,,
Capacitors,,,
CL05B104KO5NNNC - C 100nF,C1525,"$0,01",https://www.lcsc.com/product-detail/C1525.html 
CL10A106KP8NNNC - C 10uF,C19702,"$0,02",https://www.lcsc.com/product-detail/C19702.html 
CL10A105KB8NNNC - C 1uF,C15849,"$0,01",https://www.lcsc.com/product-detail/C15849.html 
0402CG120J500NT - C 12pF,C1547,"$0,01",https://www.lcsc.com/product-detail/C1547.html 
CK1A101M-CRD54 - C 100uF,C3001231,"$0,03",https://www.lcsc.com/product-detail/C3001231.html 
CL10A475KO8NNNC - C 4.7uF,C19666,"$0,01",https://www.lcsc.com/product-detail/C19666.html 
CL10C0R8BB8NNNC - C 0.8pF,C21357,"$0,01",https://www.lcsc.com/product-detail/C21357.html 
CL05C100JB5NNNC - C 10pF,C32949,"$0,01",https://www.lcsc.com/product-detail/C32949.html 
0402CG330J500NT - C 33pF,C1562,"$0,01",https://www.lcsc.com/product-detail/C1562.html 
0402CG101J500NT - C 100pF,C1546,"$0,01",https://www.lcsc.com/product-detail/C1546.html 
Resistors,,,
0603WAF1201T5E - R 1.2K,C22765,"$0,01",https://www.lcsc.com/product-detail/C22765.html 
0402WGF1001TCE - R 1K,C11702,"$0,01",https://www.lcsc.com/product-detail/C11702.html 
0402WGF1000TCE - R 100,C25076,"$0,01",https://www.lcsc.com/product-detail/C25076.html 
0402WGF5101TCE - R 5.1K,C25905,"$0,01",https://www.lcsc.com/product-detail/C25905.html 
0805W8F1002T5E - R 10K,C17414,"$0,01",https://www.lcsc.com/product-detail/C17414.html 
0402WGF0000TCE R - 0,C17168,"$0,01",https://www.lcsc.com/product-detail/C17168.html 
Inductors,,, 
SDFL2012S100KTF - L 10uH,C1046,"$0,05",https://www.lcsc.com/product-detail/C1046.html 
SDCL1005C3N9STDF - L 3.9nH,C14033,"$0,01",https://www.lcsc.com/product-detail/C14033.html 
SDCL1005C15NJTDF - L 15nH,C27143,"$0,01",https://www.lcsc.com/product-detail/C27143.html 
